casts,cover,directors,rate,title
"成龙,黄子韬,王凯,王大陆,徐帆",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2404720316.jpg,丁晟,5.2,铁道飞虎
"周星驰,赵薇,吴孟达,谢贤,莫文蔚",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2507107765.jpg,周星驰,8.0,少林足球
"山新,郝祥海,李姝洁,藤新,图特哈蒙",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2492917402.jpg,"卢恒宇,李姝洁",7.3,十万个冷笑话2
"李敏镐,钟汉良,唐嫣,徐正溪,吴千语",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2358403173.jpg,申太罗,5.1,赏金猎人
"黄晓明,杨幂,佟大为,杨颖,谢依霖",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2239863767.jpg,"杨文军,黄斌",3.8,何以笙箫默
"吴亦凡,刘亦菲,金世佳,李沁,李梦",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2364795527.jpg,周拓如,4.3,致青春·原来你还在这里
"王千源,包贝尔,王迅,王砚辉,屈菁菁",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2544988187.jpg,五百,6.5,“大”人物
"廖凡,桂纶镁,王学兵,王景春,余皑磊",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2174645340.jpg,刁亦男,7.5,白日焰火
"舒淇,彭于晏,潘虹,金士杰,邢佳栋",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2277540557.jpg,落落,5.8,剩者为王
"金城武,周冬雨,孙艺洲,奚梦瑶,杨祐宁",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2456180253.jpg,许宏宇,6.7,喜欢你
"马克·沃尔伯格,安东尼·霍普金斯,乔什·杜哈明,劳拉·哈德克,桑地亚哥·卡布瑞拉",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2462475058.jpg,迈克尔·贝,4.9,变形金刚5：最后的骑士
"冯绍峰,陈柏霖,钟汉良,王珞丹,袁泉",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2195469915.jpg,韩寒,7.1,后会无期
"盖尔·加朵,克里斯·派恩,康妮·尼尔森,罗宾·怀特,大卫·休里斯",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2460006593.jpg,派蒂·杰金斯,7.1,神奇女侠
"王景春,咏梅,齐溪,王源,杜江",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2550208359.jpg,王小帅,8.1,地久天长
"赵薇,周迅,陈坤,甄子丹,孙俪",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p462058385.jpg,"陈嘉上,钱永强,高林豹",6.7,画皮
"马克·沃尔伯格,斯坦利·图齐,凯尔希·格兰莫,妮可拉·佩尔茨,杰克·莱诺",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2187231762.jpg,迈克尔·贝,6.6,变形金刚4：绝迹重生
"景甜,欧豪,黑木美沙,林遣都,张宁江",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2460295681.jpg,蒋卓原,3.9,青禾男高
"古天乐,郑嘉颖,林峯,林家栋,周秀娜",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2551353482.jpg,林德禄 ,6.0,反贪风暴4
"彭于晏,倪妮,余文乐,俞飞鸿,欧豪",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2475060299.jpg,郭子健,5.1,悟空传
"周润发,杨紫琼,章子怡,张震,郎雄",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1507810991.jpg,李安,8.3,卧虎藏龙
"文淇,周美君,史可,耿乐,刘威葳",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2503644828.jpg,文晏,8.2,嘉年华
"李易峰,张慧雯,蒋劲夫,魏大勋,杜天皓",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2253155703.jpg,何炅,4.4,栀子花开
"郭达,潘长江,刘小微,李明,胡晓光",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2628450928.jpg,冯小宁,7.0,举起手来！
"郭采洁,张国柱,高仁,李彦漫,曹恩齐",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2621473195.jpg,王丹阳,3.5,喜宝
"何冰,韩童生,钱波,赵龙豪,米铁增",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2242220716.jpg,徐昂,8.4,十二公民
"杨幂,柯震东,郭采洁,陈学冬,郭碧婷",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2189080319.jpg,郭敬明,4.6,小时代3：刺金时代
"王宝强,鄂靖文,张全蛋,景如洋,张琪",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2555440969.jpg,"周星驰,邱礼涛,肖鹤,黄骁鹏",5.7,新喜剧之王
"王大陆,张天爱,任达华,盛冠森,王迅",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2493908018.jpg,杨磊,4.3,鲛珠传
"汤姆·克鲁斯,杰瑞米·雷纳,丽贝卡·弗格森,西蒙·佩吉,文·瑞姆斯",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2263582212.jpg,克里斯托弗·麦奎里,7.8,碟中谍5：神秘国度
"古天乐,吴樾,托尼·贾,林家栋,高战",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2494948513.jpg,叶伟信,7.1,杀破狼·贪狼
"霍卫民,王笑天,罗芸,杨瑜珍,孙黎",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2276780256.jpg,忻钰坤,8.7,心迷宫
"古天乐,林家栋,陈静,夏嫣,王敏德",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2195270848.jpg,林德禄 ,6.0,反贪风暴
"刘亦菲,埃米尔·赫斯基,李芳淙,严屹宽,余少群",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2504885106.jpg,比利·奥古斯特,5.8,烽火芳菲
"甄子丹,刘德华,姜皓文,郑则仕,刘浩龙",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2499052494.jpg,"王晶,关智耀",7.2,追龙
"周冬雨,林更新,隋凯,王啸坤,龚格尔",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2179302706.jpg,郭帆,5.9,同桌的妳
"郭富城,巩俐,冯绍峰,小沈阳,罗子溢",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2315805100.jpg,郑保瑞,5.6,西游记之孙悟空三打白骨精
"郑恺,郭采洁,王传君,张殿伦,张艺兴",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2276855500.jpg,田羽生,5.2,前任2：备胎反击战
"谢霆锋,黄秋生,郑容和,唐嫣,葛优",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2417948347.jpg,叶伟民,4.6,决战食神
"甄子丹,迈克·泰森,张晋,熊黛林,谭耀文",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2322954776.jpg,叶伟信,6.6,叶问3
