casts,cover,directors,rate,title
"梁朝伟,白百何,井柏然,李宇春,杨祐宁",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2509643816.jpg,许诚毅,5.0,捉妖记2
"邓超,罗志祥,张雨绮,林允,徐克",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2316177058.jpg,周星驰,6.7,美人鱼
"雷佳音,佟丽娅,张衣,于和伟,王正佳",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2520331478.jpg,苏伦,6.8,超时空同居
"陈建斌,任素汐,潘斌龙,章宇,王砚辉",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2539661066.jpg,饶晓志,8.1,无名之辈
"周润发,郭富城,张静初,冯文娟,廖启智",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2535260806.jpg,庄文强,8.1,无双
"凯尔·钱德勒,维拉·法米加,米莉·波比·布朗,章子怡,渡边谦",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2554370800.jpg,迈克尔·道赫蒂,6.3,哥斯拉2：怪兽之王
"艾伦,马丽,沈腾,田雨,宋阳",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2499793218.jpg,"宋阳,张吃鱼",6.8,羞羞的铁拳
"季冠霖,苏尚卿,许魏洲,金士杰,杨婷",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2361744534.jpg,"梁旋,张春",6.9,大鱼海棠
"肖央,谭卓,陈冲,姜皓文,秦沛",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2614628862.jpg,柯汶利,7.7,误杀
"任素汐,大力,刘帅良,裴魁山,阿如那",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2393044761.jpg,"周申,刘露",8.3,驴得水
"巩俐,黄渤,吴刚,彭昱畅,白浪",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2620083313.jpg,陈可辛,7.3,夺冠
"李易峰,迈克尔·道格拉斯,周冬雨,曹炳琨,王戈",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2525528688.jpg,韩延,7.2,动物世界
"张涵予,彭于晏,孙淳,陈宝国,冯文娟",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2380677316.jpg,林超贤,8.0,湄公河行动
"黄轩,苗苗,钟楚曦,杨采钰,李晓峰",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2507227732.jpg,冯小刚,7.7,芳华
"张译,刘浩存,范伟,余皑磊,张邵勃 ",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2628373757.jpg,张艺谋,7.8,一秒钟
"黄渤,沈腾,汤姆·派福瑞,马修·莫里森,徐峥",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2541901817.jpg,宁浩,6.4,疯狂的外星人
"王千源,吴彦祖,春夏,卫诗雅,大力",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2625777429.jpg,刘浩良,6.3,除暴
"张喆,杨天翔,唐小喜,刘紫玲,张遥函",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2544313786.jpg,"黄家康,赵霁",7.9,白蛇：缘起
"邓超,彭于晏,赵丽颖,董子健,金士杰",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2408407697.jpg,韩寒,6.8,乘风破浪
"王凯,张鲁一,林心如,叶祖新,丁冠森",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2448676053.jpg,苏有朋,6.3,嫌疑人X的献身
"徐峥,王宝强,黄渤,陶虹,谢楠",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1793720172.jpg,徐峥,7.5,人再囧途之泰囧
"常远,李沁,沈腾,乔杉,马丽",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2618446242.jpg,常远,5.5,温暖的抱抱
"尊龙,陈冲,邬君梅,彼得·奥图尔,英若诚",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p452089833.jpg,贝纳尔多·贝托鲁奇,9.3,末代皇帝
"郭涛,刘桦,连晋,黄渤,徐峥",https://img9.doubanio.com/view/photo/s_ratio_poster/public/p712241453.jpg,宁浩,8.5,疯狂的石头
